OrderId,CustomerId,EmployeeId,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10258,20,1,2020-01-18 08:20:21.467,2020-02-15 08:20:21.467,2020-01-24 08:20:21.467,1,140.51,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10259,13,4,2020-01-19 08:20:21.467,2020-02-16 08:20:21.467,2020-01-26 08:20:21.467,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,NULL,05022,Mexico
10260,56,4,2020-01-20 08:20:21.467,2020-02-17 08:20:21.467,2020-01-30 08:20:21.467,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,NULL,50739,Germany
10261,61,4,2020-01-20 08:20:21.467,2020-02-17 08:20:21.467,2020-01-31 08:20:21.467,2,3.05,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
10262,65,8,2020-01-23 08:20:21.467,2020-02-20 08:20:21.467,2020-01-26 08:20:21.467,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10263,20,9,2020-01-24 08:20:21.467,2020-02-21 08:20:21.467,2020-02-01 08:20:21.467,3,146.06,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10264,24,6,2020-01-25 08:20:21.467,2020-02-22 08:20:21.467,2020-02-24 08:20:21.467,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden
10265,7,2,2020-01-26 08:20:21.467,2020-02-23 08:20:21.467,2020-02-13 08:20:21.467,1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,NULL,67000,France
10266,87,3,2020-01-27 08:20:21.467,2020-03-09 08:20:21.467,2020-02-01 08:20:21.467,3,25.73,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10267,25,4,2020-01-30 08:20:21.467,2020-02-27 08:20:21.467,2020-02-07 08:20:21.467,1,208.58,Frankenversand,Berliner Platz 43,München,NULL,80805,Germany
10268,33,8,2020-01-31 08:20:21.467,2020-02-28 08:20:21.467,2020-02-03 08:20:21.467,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela
10269,89,5,2020-02-01 08:20:21.467,2020-02-15 08:20:21.467,2020-02-10 08:20:21.467,1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10270,87,1,2020-02-02 08:20:21.467,2020-03-01 08:20:21.467,2020-02-03 08:20:21.467,1,136.54,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10271,75,6,2020-02-02 08:20:21.467,2020-03-01 08:20:21.467,2020-03-02 08:20:21.467,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10272,65,6,2020-02-03 08:20:21.483,2020-03-02 08:20:21.483,2020-02-07 08:20:21.483,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10273,63,3,2020-02-06 08:20:21.483,2020-03-05 08:20:21.483,2020-02-13 08:20:21.483,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10274,85,6,2020-02-07 08:20:21.483,2020-03-06 08:20:21.483,2020-02-17 08:20:21.483,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France
10275,49,1,2020-02-08 08:20:21.483,2020-03-07 08:20:21.483,2020-02-10 08:20:21.483,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
10276,80,8,2020-02-09 08:20:21.483,2020-02-23 08:20:21.483,2020-02-15 08:20:21.483,3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,NULL,05033,Mexico
10277,52,2,2020-02-10 08:20:21.483,2020-03-09 08:20:21.483,2020-02-14 08:20:21.483,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,NULL,04179,Germany
10278,5,8,2020-02-13 08:20:21.483,2020-03-12 08:20:21.483,2020-02-17 08:20:21.483,2,92.69,Berglunds snabbköp,Berguvsvägen 8,Luleå,NULL,S-958 22,Sweden
10279,44,8,2020-02-14 08:20:21.483,2020-03-13 08:20:21.483,2020-02-17 08:20:21.483,2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany
10280,5,2,2020-02-15 08:20:21.483,2020-03-14 08:20:21.483,2020-03-15 08:20:21.483,1,8.98,Berglunds snabbköp,Berguvsvägen 8,Luleå,NULL,S-958 22,Sweden
10281,69,4,2020-02-15 08:20:21.483,2020-02-29 08:20:21.483,2020-02-22 08:20:21.483,1,2.94,Romero y tomillo,"Gran Vía, 1",Madrid,NULL,28001,Spain
10282,69,4,2020-02-16 08:20:21.483,2020-03-15 08:20:21.483,2020-02-22 08:20:21.483,1,12.69,Romero y tomillo,"Gran Vía, 1",Madrid,NULL,28001,Spain
10283,46,3,2020-02-17 08:20:21.483,2020-03-16 08:20:21.483,2020-02-24 08:20:21.483,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10284,44,4,2020-02-20 08:20:21.483,2020-03-19 08:20:21.483,2020-02-28 08:20:21.483,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany
10285,63,1,2020-02-21 08:20:21.483,2020-03-20 08:20:21.483,2020-02-27 08:20:21.483,2,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10286,63,8,2020-02-22 08:20:21.483,2020-03-21 08:20:21.483,2020-03-02 08:20:21.483,3,229.24,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10287,67,8,2020-02-23 08:20:21.483,2020-03-22 08:20:21.483,2020-02-29 08:20:21.483,3,12.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil
10288,66,4,2020-02-24 08:20:21.500,2020-03-23 08:20:21.500,2020-03-06 08:20:21.500,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,NULL,42100,Italy
10289,11,7,2020-02-27 08:20:21.500,2020-03-26 08:20:21.500,2020-02-29 08:20:21.500,3,22.77,B's Beverages,Fauntleroy Circus,London,NULL,EC2 5NT,UK
10290,15,8,2020-02-28 08:20:21.500,2020-03-27 08:20:21.500,2020-03-06 08:20:21.500,1,79.70,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil
10291,61,6,2020-02-28 08:20:21.500,2020-03-27 08:20:21.500,2020-03-07 08:20:21.500,2,6.40,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
10292,81,1,2020-02-29 08:20:21.500,2020-03-28 08:20:21.500,2020-03-05 08:20:21.500,2,1.35,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil
10293,80,1,2020-03-01 08:20:21.500,2020-03-29 08:20:21.500,2020-03-14 08:20:21.500,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,NULL,05033,Mexico
10294,65,4,2020-03-02 08:20:21.500,2020-03-30 08:20:21.500,2020-03-08 08:20:21.500,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10295,85,2,2020-03-05 08:20:21.500,2020-04-02 08:20:21.500,2020-03-13 08:20:21.500,2,1.15,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France
10296,46,6,2020-03-06 08:20:21.500,2020-04-03 08:20:21.500,2020-03-14 08:20:21.500,1,0.12,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10297,7,5,2020-03-07 08:20:21.500,2020-04-18 08:20:21.500,2020-03-13 08:20:21.500,2,5.74,Blondel père et fils,"24, place Kléber",Strasbourg,NULL,67000,France
10298,37,6,2020-03-08 08:20:21.500,2020-04-05 08:20:21.500,2020-03-14 08:20:21.500,2,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10299,67,4,2020-03-09 08:20:21.513,2020-04-06 08:20:21.513,2020-03-16 08:20:21.513,2,29.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil
10300,49,2,2020-03-12 08:20:21.513,2020-04-09 08:20:21.513,2020-03-21 08:20:21.513,2,17.68,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
10301,86,8,2020-03-12 08:20:21.513,2020-04-09 08:20:21.513,2020-03-20 08:20:21.513,2,45.08,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany
10302,76,4,2020-03-13 08:20:21.513,2020-04-10 08:20:21.513,2020-04-11 08:20:21.513,2,6.27,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,NULL,B-6000,Belgium
10303,30,7,2020-03-14 08:20:21.513,2020-04-11 08:20:21.513,2020-03-21 08:20:21.513,2,107.83,Godos Cocina Típica,"C/ Romero, 33",Sevilla,NULL,41101,Spain
10304,80,1,2020-03-15 08:20:21.513,2020-04-12 08:20:21.513,2020-03-20 08:20:21.513,2,63.79,Tortuga Restaurante,Avda. Azteca 123,México D.F.,NULL,05033,Mexico
10305,55,8,2020-03-16 08:20:21.513,2020-04-13 08:20:21.513,2020-04-11 08:20:21.513,3,257.62,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10306,69,1,2020-03-19 08:20:21.513,2020-04-16 08:20:21.513,2020-03-26 08:20:21.513,3,7.56,Romero y tomillo,"Gran Vía, 1",Madrid,NULL,28001,Spain
10307,48,2,2020-03-20 08:20:21.513,2020-04-17 08:20:21.513,2020-03-28 08:20:21.513,2,0.56,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10308,2,7,2020-03-21 08:20:21.513,2020-04-18 08:20:21.513,2020-03-27 08:20:21.513,3,1.61,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,NULL,05021,Mexico
10309,37,3,2020-03-22 08:20:21.513,2020-04-19 08:20:21.513,2020-04-25 08:20:21.513,1,47.30,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10310,77,8,2020-03-23 08:20:21.513,2020-04-20 08:20:21.513,2020-03-30 08:20:21.513,2,17.52,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA
10311,18,1,2020-03-23 08:20:21.513,2020-04-06 08:20:21.513,2020-03-29 08:20:21.513,3,24.69,Du monde entier,"67, rue des Cinquante Otages",Nantes,NULL,44000,France
10312,86,2,2020-03-26 08:20:21.513,2020-04-23 08:20:21.513,2020-04-05 08:20:21.513,2,40.26,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany
10313,63,2,2020-03-27 08:20:21.530,2020-04-24 08:20:21.530,2020-04-06 08:20:21.530,2,1.96,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10314,65,1,2020-03-28 08:20:21.530,2020-04-25 08:20:21.530,2020-04-06 08:20:21.530,2,74.16,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10315,38,4,2020-03-29 08:20:21.530,2020-04-26 08:20:21.530,2020-04-05 08:20:21.530,2,41.76,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10316,65,1,2020-03-30 08:20:21.530,2020-04-27 08:20:21.530,2020-04-10 08:20:21.530,3,150.15,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10317,48,6,2020-04-02 08:20:21.530,2020-04-30 08:20:21.530,2020-04-12 08:20:21.530,1,12.69,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10318,38,8,2020-04-03 08:20:21.530,2020-05-01 08:20:21.530,2020-04-06 08:20:21.530,2,4.73,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10319,80,7,2020-04-04 08:20:21.530,2020-05-02 08:20:21.530,2020-04-13 08:20:21.530,3,64.50,Tortuga Restaurante,Avda. Azteca 123,México D.F.,NULL,05033,Mexico
10320,87,5,2020-04-05 08:20:21.530,2020-04-19 08:20:21.530,2020-04-20 08:20:21.530,3,34.57,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10321,38,3,2020-04-05 08:20:21.530,2020-05-03 08:20:21.530,2020-04-13 08:20:21.530,2,3.43,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10322,58,7,2020-04-06 08:20:21.530,2020-05-04 08:20:21.530,2020-04-25 08:20:21.530,3,0.40,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,NULL,05033,Mexico
10323,39,4,2020-04-09 08:20:21.530,2020-05-07 08:20:21.530,2020-04-16 08:20:21.530,1,4.88,Königlich Essen,Maubelstr. 90,Brandenburg,NULL,14776,Germany
10324,71,9,2020-04-10 08:20:21.530,2020-05-08 08:20:21.530,2020-04-12 08:20:21.530,1,214.27,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10325,39,1,2020-04-11 08:20:21.547,2020-04-25 08:20:21.547,2020-04-16 08:20:21.547,3,64.86,Königlich Essen,Maubelstr. 90,Brandenburg,NULL,14776,Germany
10326,8,4,2020-04-12 08:20:21.547,2020-05-10 08:20:21.547,2020-04-16 08:20:21.547,2,77.92,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,NULL,28023,Spain
10327,24,2,2020-04-13 08:20:21.547,2020-05-11 08:20:21.547,2020-04-16 08:20:21.547,1,63.36,Folk och fä HB,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden
10328,28,4,2020-04-16 08:20:21.547,2020-05-14 08:20:21.547,2020-04-19 08:20:21.547,3,87.03,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,NULL,1675,Portugal
10329,75,4,2020-04-17 08:20:21.547,2020-05-29 08:20:21.547,2020-04-25 08:20:21.547,2,191.67,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10330,46,3,2020-04-18 08:20:21.547,2020-05-16 08:20:21.547,2020-04-30 08:20:21.547,1,12.75,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10331,9,9,2020-04-18 08:20:21.547,2020-05-30 08:20:21.547,2020-04-23 08:20:21.547,1,10.19,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10332,51,3,2020-04-19 08:20:21.547,2020-05-31 08:20:21.547,2020-04-23 08:20:21.547,2,52.84,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10333,87,5,2020-04-20 08:20:21.547,2020-05-18 08:20:21.547,2020-04-27 08:20:21.547,3,0.59,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10334,84,8,2020-04-23 08:20:21.547,2020-05-21 08:20:21.547,2020-04-30 08:20:21.547,2,8.56,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France
10335,37,7,2020-04-24 08:20:21.560,2020-05-22 08:20:21.560,2020-04-26 08:20:21.560,2,42.11,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10336,60,7,2020-04-25 08:20:21.560,2020-05-23 08:20:21.560,2020-04-27 08:20:21.560,2,15.51,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,NULL,1756,Portugal
10337,25,4,2020-04-26 08:20:21.560,2020-05-24 08:20:21.560,2020-05-01 08:20:21.560,3,108.26,Frankenversand,Berliner Platz 43,München,NULL,80805,Germany
10338,55,4,2020-04-27 08:20:21.560,2020-05-25 08:20:21.560,2020-05-01 08:20:21.560,3,84.21,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10339,51,2,2020-04-30 08:20:21.560,2020-05-28 08:20:21.560,2020-05-07 08:20:21.560,2,15.66,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10340,9,1,2020-05-01 08:20:21.560,2020-05-29 08:20:21.560,2020-05-11 08:20:21.560,3,166.31,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10341,73,7,2020-05-01 08:20:21.560,2020-05-29 08:20:21.560,2020-05-08 08:20:21.560,3,26.78,Simons bistro,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
10342,25,4,2020-05-02 08:20:21.560,2020-05-16 08:20:21.560,2020-05-07 08:20:21.560,2,54.83,Frankenversand,Berliner Platz 43,München,NULL,80805,Germany
10343,44,4,2020-05-03 08:20:21.560,2020-05-31 08:20:21.560,2020-05-09 08:20:21.560,1,110.37,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany
10344,89,4,2020-05-04 08:20:21.560,2020-06-01 08:20:21.560,2020-05-08 08:20:21.560,2,23.29,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10345,63,2,2020-05-07 08:20:21.577,2020-06-04 08:20:21.577,2020-05-14 08:20:21.577,2,249.06,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10346,65,3,2020-05-08 08:20:21.577,2020-06-19 08:20:21.577,2020-05-11 08:20:21.577,3,142.08,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10347,21,4,2020-05-09 08:20:21.577,2020-06-06 08:20:21.577,2020-05-11 08:20:21.577,3,3.10,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil
10348,86,4,2020-05-10 08:20:21.577,2020-06-07 08:20:21.577,2020-05-18 08:20:21.577,2,0.78,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany
10349,75,7,2020-05-11 08:20:21.577,2020-06-08 08:20:21.577,2020-05-18 08:20:21.577,1,8.63,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10350,41,6,2020-05-14 08:20:21.577,2020-06-11 08:20:21.577,2020-06-05 08:20:21.577,2,64.19,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10351,20,1,2020-05-14 08:20:21.577,2020-06-11 08:20:21.577,2020-05-23 08:20:21.577,1,162.33,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10352,28,3,2020-05-15 08:20:21.577,2020-05-29 08:20:21.577,2020-05-21 08:20:21.577,3,1.30,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,NULL,1675,Portugal
10353,59,7,2020-05-16 08:20:21.577,2020-06-13 08:20:21.577,2020-05-28 08:20:21.577,3,360.63,Piccolo und mehr,Geislweg 14,Salzburg,NULL,5020,Austria
10354,58,8,2020-05-17 08:20:21.577,2020-06-14 08:20:21.577,2020-05-23 08:20:21.577,3,53.80,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,NULL,05033,Mexico
10355,4,6,2020-05-18 08:20:21.577,2020-06-15 08:20:21.577,2020-05-23 08:20:21.577,1,41.95,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
10356,86,6,2020-05-21 08:20:21.593,2020-06-18 08:20:21.593,2020-05-30 08:20:21.593,2,36.71,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany
10357,46,1,2020-05-22 08:20:21.593,2020-06-19 08:20:21.593,2020-06-04 08:20:21.593,3,34.88,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10358,41,5,2020-05-23 08:20:21.593,2020-06-20 08:20:21.593,2020-05-30 08:20:21.593,1,19.64,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10359,72,5,2020-05-24 08:20:21.593,2020-06-21 08:20:21.593,2020-05-29 08:20:21.593,3,288.43,Seven Seas Imports,90 Wadhurst Rd.,London,NULL,OX15 4NB,UK
10360,7,4,2020-05-25 08:20:21.593,2020-06-22 08:20:21.593,2020-06-04 08:20:21.593,3,131.70,Blondel père et fils,"24, place Kléber",Strasbourg,NULL,67000,France
10361,63,1,2020-05-25 08:20:21.593,2020-06-22 08:20:21.593,2020-06-05 08:20:21.593,2,183.17,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10362,9,3,2020-05-28 08:20:21.593,2020-06-25 08:20:21.593,2020-05-31 08:20:21.593,1,96.04,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10363,17,4,2020-05-29 08:20:21.593,2020-06-26 08:20:21.593,2020-06-06 08:20:21.593,3,30.54,Drachenblut Delikatessen,Walserweg 21,Aachen,NULL,52066,Germany
10364,19,1,2020-05-29 08:20:21.593,2020-07-10 08:20:21.593,2020-06-06 08:20:21.593,1,71.97,Eastern Connection,35 King George,London,NULL,WX3 6FW,UK
10365,3,3,2020-05-30 08:20:21.593,2020-06-27 08:20:21.593,2020-06-04 08:20:21.593,2,22.00,Antonio Moreno Taquería,Mataderos 2312,México D.F.,NULL,05023,Mexico
10366,29,8,2020-05-31 08:20:21.593,2020-07-12 08:20:21.593,2020-07-02 08:20:21.593,2,10.14,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,NULL,8022,Spain
10367,83,7,2020-05-31 08:20:21.593,2020-06-28 08:20:21.593,2020-06-04 08:20:21.593,3,13.55,Vaffeljernet,Smagsloget 45,Århus,NULL,8200,Denmark
10368,20,2,2020-06-01 08:20:21.593,2020-06-29 08:20:21.593,2020-06-04 08:20:21.593,2,101.95,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10369,75,8,2020-06-04 08:20:21.610,2020-07-02 08:20:21.610,2020-06-11 08:20:21.610,2,195.68,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10370,14,6,2020-06-05 08:20:21.610,2020-07-03 08:20:21.610,2020-06-29 08:20:21.610,2,1.17,Chop-suey Chinese,Hauptstr. 31,Bern,NULL,3012,Switzerland
10371,41,1,2020-06-05 08:20:21.610,2020-07-03 08:20:21.610,2020-06-26 08:20:21.610,1,0.45,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10372,62,5,2020-06-06 08:20:21.610,2020-07-04 08:20:21.610,2020-06-11 08:20:21.610,2,890.78,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil
10373,37,4,2020-06-07 08:20:21.610,2020-07-05 08:20:21.610,2020-06-13 08:20:21.610,3,124.12,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10374,91,1,2020-06-07 08:20:21.610,2020-07-05 08:20:21.610,2020-06-11 08:20:21.610,3,3.94,Wolski Zajazd,ul. Filtrowa 68,Warszawa,NULL,01-012,Poland
10375,36,3,2020-06-08 08:20:21.610,2020-07-06 08:20:21.610,2020-06-11 08:20:21.610,2,20.12,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
10376,51,1,2020-06-11 08:20:21.610,2020-07-09 08:20:21.610,2020-06-15 08:20:21.610,2,20.39,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10377,72,1,2020-06-11 08:20:21.610,2020-07-09 08:20:21.610,2020-06-15 08:20:21.610,3,22.21,Seven Seas Imports,90 Wadhurst Rd.,London,NULL,OX15 4NB,UK
10378,24,5,2020-06-12 08:20:21.610,2020-07-10 08:20:21.610,2020-06-21 08:20:21.610,3,5.44,Folk och fä HB,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden
10379,61,2,2020-06-13 08:20:21.610,2020-07-11 08:20:21.610,2020-06-15 08:20:21.610,1,45.03,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
10380,37,8,2020-06-14 08:20:21.627,2020-07-12 08:20:21.627,2020-07-19 08:20:21.627,3,35.03,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10381,46,3,2020-06-14 08:20:21.627,2020-07-12 08:20:21.627,2020-06-15 08:20:21.627,3,7.99,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10382,20,4,2020-06-15 08:20:21.627,2020-07-13 08:20:21.627,2020-06-18 08:20:21.627,1,94.77,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10383,4,8,2020-06-18 08:20:21.627,2020-07-16 08:20:21.627,2020-06-20 08:20:21.627,3,34.24,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
10384,5,3,2020-06-18 08:20:21.627,2020-07-16 08:20:21.627,2020-06-22 08:20:21.627,3,168.64,Berglunds snabbköp,Berguvsvägen 8,Luleå,NULL,S-958 22,Sweden
10385,75,1,2020-06-19 08:20:21.627,2020-07-17 08:20:21.627,2020-06-25 08:20:21.627,2,30.96,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10386,21,9,2020-06-20 08:20:21.627,2020-07-04 08:20:21.627,2020-06-27 08:20:21.627,3,13.99,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil
10387,70,1,2020-06-20 08:20:21.627,2020-07-18 08:20:21.627,2020-06-22 08:20:21.627,2,93.63,Santé Gourmet,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
