OrderDetailsId,OrderId,ProductId,UnitPrice,Quantity,Discount
58,10269,33,2.00,60,0.050
59,10269,72,27.80,20,0.050
60,10270,36,15.20,30,0.000
61,10270,43,36.80,25,0.000
62,10271,33,2.00,24,0.000
63,10272,20,64.80,6,0.000
64,10272,31,10.00,40,0.000
65,10272,72,27.80,24,0.000
66,10273,10,24.80,24,0.050
67,10273,31,10.00,15,0.050
68,10273,33,2.00,20,0.000
69,10273,40,14.70,60,0.050
70,10273,76,14.40,33,0.050
71,10274,71,17.20,20,0.000
72,10274,72,27.80,7,0.000
73,10275,24,3.60,12,0.050
74,10275,59,44.00,6,0.050
75,10276,10,24.80,15,0.000
76,10276,13,4.80,10,0.000
77,10277,28,36.40,20,0.000
78,10277,62,39.40,12,0.000
79,10278,44,15.50,16,0.000
80,10278,59,44.00,15,0.000
81,10278,63,35.10,8,0.000
82,10278,73,12.00,25,0.000
83,10279,17,31.20,15,0.250
84,10280,24,3.60,12,0.000
85,10280,55,19.20,20,0.000
86,10280,75,6.20,30,0.000
87,10281,19,7.30,1,0.000
88,10281,24,3.60,6,0.000
89,10281,35,14.40,4,0.000
90,10282,30,20.70,6,0.000
91,10282,57,15.60,2,0.000
92,10283,15,12.40,20,0.000
93,10283,19,7.30,18,0.000
94,10283,60,27.20,35,0.000
95,10283,72,27.80,3,0.000
96,10284,27,35.10,15,0.250
97,10284,44,15.50,21,0.000
98,10284,60,27.20,20,0.250
99,10284,67,11.20,5,0.250
100,10285,1,14.40,45,0.200
101,10285,40,14.70,40,0.200
102,10285,53,26.20,36,0.200
103,10286,35,14.40,100,0.000
104,10286,62,39.40,40,0.000
105,10287,16,13.90,40,0.150
106,10287,34,11.20,20,0.000
107,10287,46,9.60,15,0.150
108,10288,54,5.90,10,0.100
109,10288,68,10.00,3,0.100
110,10289,3,8.00,30,0.000
111,10289,64,26.60,9,0.000
112,10290,5,17.00,20,0.000
113,10290,29,99.00,15,0.000
114,10290,49,16.00,15,0.000
115,10290,77,10.40,10,0.000
116,10291,13,4.80,20,0.100
117,10291,44,15.50,24,0.100
118,10291,51,42.40,2,0.100
119,10292,20,64.80,20,0.000
120,10293,18,50.00,12,0.000
121,10293,24,3.60,10,0.000
122,10293,63,35.10,5,0.000
123,10293,75,6.20,6,0.000
124,10294,1,14.40,18,0.000
125,10294,17,31.20,15,0.000
126,10294,43,36.80,15,0.000
127,10294,60,27.20,21,0.000
128,10294,75,6.20,6,0.000
129,10295,56,30.40,4,0.000
130,10296,11,16.80,12,0.000
131,10296,16,13.90,30,0.000
132,10296,69,28.80,15,0.000
133,10297,39,14.40,60,0.000
134,10297,72,27.80,20,0.000
135,10298,2,15.20,40,0.000
136,10298,36,15.20,40,0.250
137,10298,59,44.00,30,0.250
138,10298,62,39.40,15,0.000
139,10299,19,7.30,15,0.000
140,10299,70,12.00,20,0.000
141,10300,66,13.60,30,0.000
142,10300,68,10.00,20,0.000
143,10301,40,14.70,10,0.000
144,10301,56,30.40,20,0.000
145,10302,17,31.20,40,0.000
146,10302,28,36.40,28,0.000
147,10302,43,36.80,12,0.000
148,10303,40,14.70,40,0.100
149,10303,65,16.80,30,0.100
150,10303,68,10.00,15,0.100
151,10304,49,16.00,30,0.000
152,10304,59,44.00,10,0.000
153,10304,71,17.20,2,0.000
154,10305,18,50.00,25,0.100
155,10305,29,99.00,25,0.100
156,10305,39,14.40,30,0.100
157,10306,30,20.70,10,0.000
158,10306,53,26.20,10,0.000
159,10306,54,5.90,5,0.000
160,10307,62,39.40,10,0.000
161,10307,68,10.00,3,0.000
162,10308,69,28.80,1,0.000
163,10308,70,12.00,5,0.000
164,10309,4,17.60,20,0.000
165,10309,6,20.00,30,0.000
166,10309,42,11.20,2,0.000
167,10309,43,36.80,20,0.000
168,10309,71,17.20,3,0.000
169,10310,16,13.90,10,0.000
170,10310,62,39.40,5,0.000
171,10311,42,11.20,6,0.000
172,10311,69,28.80,7,0.000
173,10312,28,36.40,4,0.000
174,10312,43,36.80,24,0.000
175,10312,53,26.20,20,0.000
176,10312,75,6.20,10,0.000
177,10313,36,15.20,12,0.000
178,10314,32,25.60,40,0.100
179,10314,58,10.60,30,0.100
180,10314,62,39.40,25,0.100
181,10315,34,11.20,14,0.000
182,10315,70,12.00,30,0.000
183,10316,41,7.70,10,0.000
184,10316,62,39.40,70,0.000
185,10317,1,14.40,20,0.000
186,10318,41,7.70,20,0.000
187,10318,76,14.40,6,0.000
188,10319,17,31.20,8,0.000
189,10319,28,36.40,14,0.000
190,10319,76,14.40,30,0.000
191,10320,71,17.20,30,0.000
192,10321,35,14.40,10,0.000
193,10322,52,5.60,20,0.000
194,10323,15,12.40,5,0.000
195,10323,25,11.20,4,0.000
196,10323,39,14.40,4,0.000
197,10324,16,13.90,21,0.150
198,10324,35,14.40,70,0.150
199,10324,46,9.60,30,0.000
200,10324,59,44.00,40,0.150
201,10324,63,35.10,80,0.150
202,10325,6,20.00,6,0.000
203,10325,13,4.80,12,0.000
204,10325,14,18.60,9,0.000
205,10325,31,10.00,4,0.000
206,10325,72,27.80,40,0.000
207,10326,4,17.60,24,0.000
208,10326,57,15.60,16,0.000
209,10326,75,6.20,50,0.000
210,10327,2,15.20,25,0.200
211,10327,11,16.80,50,0.200
212,10327,30,20.70,35,0.200
213,10327,58,10.60,30,0.200
214,10328,59,44.00,9,0.000
215,10328,65,16.80,40,0.000
216,10328,68,10.00,10,0.000
217,10329,19,7.30,10,0.050
218,10329,30,20.70,8,0.050
219,10329,38,210.80,20,0.050
220,10329,56,30.40,12,0.050
221,10330,26,24.90,50,0.150
222,10330,72,27.80,25,0.150
223,10331,54,5.90,15,0.000
224,10332,18,50.00,40,0.200
225,10332,42,11.20,10,0.200
226,10332,47,7.60,16,0.200
227,10333,14,18.60,10,0.000
228,10333,21,8.00,10,0.100
229,10333,71,17.20,40,0.100
230,10334,52,5.60,8,0.000
231,10334,68,10.00,10,0.000
232,10335,2,15.20,7,0.200
233,10335,31,10.00,25,0.200
234,10335,32,25.60,6,0.200
235,10335,51,42.40,48,0.200
236,10336,4,17.60,18,0.100
237,10337,23,7.20,40,0.000
238,10337,26,24.90,24,0.000
239,10337,36,15.20,20,0.000
240,10337,37,20.80,28,0.000
241,10337,72,27.80,25,0.000
242,10338,17,31.20,20,0.000
243,10338,30,20.70,15,0.000
244,10339,4,17.60,10,0.000
245,10339,17,31.20,70,0.050
246,10339,62,39.40,28,0.000
247,10340,18,50.00,20,0.050
248,10340,41,7.70,12,0.050
249,10340,43,36.80,40,0.050
250,10341,33,2.00,8,0.000
251,10341,59,44.00,9,0.150
252,10342,2,15.20,24,0.200
253,10342,31,10.00,56,0.200
254,10342,36,15.20,40,0.200
255,10342,55,19.20,40,0.200
256,10343,64,26.60,50,0.000
257,10343,68,10.00,4,0.050
258,10343,76,14.40,15,0.000
259,10344,4,17.60,35,0.000
260,10344,8,32.00,70,0.250
261,10345,8,32.00,70,0.000
262,10345,19,7.30,80,0.000
263,10345,42,11.20,9,0.000
264,10346,17,31.20,36,0.100
265,10346,56,30.40,20,0.000
266,10347,25,11.20,10,0.000
267,10347,39,14.40,50,0.150
268,10347,40,14.70,4,0.000
269,10347,75,6.20,6,0.150
270,10348,1,14.40,15,0.150
271,10348,23,7.20,25,0.000
272,10349,54,5.90,24,0.000
273,10350,50,13.00,15,0.100
274,10350,69,28.80,18,0.100
275,10351,38,210.80,20,0.050
276,10351,41,7.70,13,0.000
277,10351,44,15.50,77,0.050
278,10351,65,16.80,10,0.050
279,10352,24,3.60,10,0.000
280,10352,54,5.90,20,0.150
281,10353,11,16.80,12,0.200
282,10353,38,210.80,50,0.200
283,10354,1,14.40,12,0.000
284,10354,29,99.00,4,0.000
285,10355,24,3.60,25,0.000
286,10355,57,15.60,25,0.000
287,10356,31,10.00,30,0.000
288,10356,55,19.20,12,0.000
289,10356,69,28.80,20,0.000
290,10357,10,24.80,30,0.200
291,10357,26,24.90,16,0.000
292,10357,60,27.20,8,0.200
293,10358,24,3.60,10,0.050
294,10358,34,11.20,10,0.050
295,10358,36,15.20,20,0.050
296,10359,16,13.90,56,0.050
297,10359,31,10.00,70,0.050
298,10359,60,27.20,80,0.050
299,10360,28,36.40,30,0.000
300,10360,29,99.00,35,0.000
301,10360,38,210.80,10,0.000
302,10360,49,16.00,35,0.000
303,10360,54,5.90,28,0.000
304,10361,39,14.40,54,0.100
305,10361,60,27.20,55,0.100
306,10362,25,11.20,50,0.000
307,10362,51,42.40,20,0.000
308,10362,54,5.90,24,0.000
309,10363,31,10.00,20,0.000
310,10363,75,6.20,12,0.000
311,10363,76,14.40,12,0.000
312,10364,69,28.80,30,0.000
313,10364,71,17.20,5,0.000
314,10365,11,16.80,24,0.000
315,10366,65,16.80,5,0.000
316,10366,77,10.40,5,0.000
317,10367,34,11.20,36,0.000
318,10367,54,5.90,18,0.000
319,10367,65,16.80,15,0.000
320,10367,77,10.40,7,0.000
321,10368,21,8.00,5,0.100
322,10368,28,36.40,13,0.100
323,10368,57,15.60,25,0.000
324,10368,64,26.60,35,0.100
325,10369,29,99.00,20,0.000
326,10369,56,30.40,18,0.250
327,10370,1,14.40,15,0.150
328,10370,64,26.60,30,0.000
329,10370,74,8.00,20,0.150
330,10371,36,15.20,6,0.200
331,10372,20,64.80,12,0.250
332,10372,38,210.80,40,0.250
333,10372,60,27.20,70,0.250
334,10372,72,27.80,42,0.250
335,10373,58,10.60,80,0.200
336,10373,71,17.20,50,0.200
337,10374,31,10.00,30,0.000
338,10374,58,10.60,15,0.000
339,10375,14,18.60,15,0.000
340,10375,54,5.90,10,0.000
341,10376,31,10.00,42,0.050
342,10377,28,36.40,20,0.150
343,10377,39,14.40,20,0.150
344,10378,71,17.20,6,0.000
345,10379,41,7.70,8,0.100
346,10379,63,35.10,16,0.100
347,10379,65,16.80,20,0.100
348,10380,30,20.70,18,0.100
349,10380,53,26.20,20,0.100
350,10380,60,27.20,6,0.100
351,10380,70,12.00,30,0.000
352,10381,74,8.00,14,0.000
353,10382,5,17.00,32,0.000
354,10382,18,50.00,9,0.000
355,10382,29,99.00,14,0.000
356,10382,33,2.00,60,0.000
357,10382,74,8.00,50,0.000
358,10383,13,4.80,20,0.000
359,10383,50,13.00,15,0.000
360,10383,56,30.40,20,0.000
361,10384,20,64.80,28,0.000
362,10384,60,27.20,15,0.000
363,10385,7,24.00,10,0.200
364,10385,60,27.20,20,0.200
365,10385,68,10.00,8,0.200
366,10386,24,3.60,15,0.000
367,10386,34,11.20,10,0.000
368,10387,24,3.60,15,0.000
369,10387,28,36.40,6,0.000
370,10387,59,44.00,12,0.000
371,10387,71,17.20,15,0.000
372,10388,45,7.60,15,0.200
373,10388,52,5.60,20,0.200
374,10388,53,26.20,40,0.000
375,10389,10,24.80,16,0.000
376,10389,55,19.20,15,0.000
377,10389,62,39.40,20,0.000
378,10389,70,12.00,30,0.000
379,10390,31,10.00,60,0.100
380,10390,35,14.40,40,0.100
381,10390,46,9.60,45,0.000
382,10390,72,27.80,24,0.100
383,10391,13,4.80,18,0.000
384,10392,69,28.80,50,0.000
385,10393,2,15.20,25,0.250
386,10393,14,18.60,42,0.250
387,10393,25,11.20,7,0.250
388,10393,26,24.90,70,0.250
389,10393,31,10.00,32,0.000
390,10394,13,4.80,10,0.000
391,10394,62,39.40,10,0.000
392,10395,46,9.60,28,0.100
393,10395,53,26.20,70,0.100
394,10395,69,28.80,8,0.000
395,10396,23,7.20,40,0.000
396,10396,71,17.20,60,0.000
397,10396,72,27.80,21,0.000
398,10397,21,8.00,10,0.150
399,10397,51,42.40,18,0.150
400,10398,35,14.40,30,0.000
401,10398,55,19.20,120,0.100
402,10399,68,10.00,60,0.000
403,10399,71,17.20,30,0.000
404,10399,76,14.40,35,0.000
405,10399,77,10.40,14,0.000
406,10400,29,99.00,21,0.000
407,10400,35,14.40,35,0.000
408,10400,49,16.00,30,0.000
409,10401,30,20.70,18,0.000
410,10401,56,30.40,70,0.000
411,10401,65,16.80,20,0.000
412,10401,71,17.20,60,0.000
413,10402,23,7.20,60,0.000
414,10402,63,35.10,65,0.000
415,10403,16,13.90,21,0.150
416,10403,48,10.20,70,0.150
417,10404,26,24.90,30,0.050
418,10404,42,11.20,40,0.050
419,10404,49,16.00,30,0.050
420,10405,3,8.00,50,0.000
421,10406,1,14.40,10,0.000
422,10406,21,8.00,30,0.100
423,10406,28,36.40,42,0.100
424,10406,36,15.20,5,0.100
425,10406,40,14.70,2,0.100
426,10407,11,16.80,30,0.000
427,10407,69,28.80,15,0.000
428,10407,71,17.20,15,0.000
429,10408,37,20.80,10,0.000
430,10408,54,5.90,6,0.000
431,10408,62,39.40,35,0.000
432,10409,14,18.60,12,0.000
433,10409,21,8.00,12,0.000
434,10410,33,2.00,49,0.000
435,10410,59,44.00,16,0.000
436,10411,41,7.70,25,0.200
437,10411,44,15.50,40,0.200
438,10411,59,44.00,9,0.200
439,10412,14,18.60,20,0.100
440,10413,1,14.40,24,0.000
441,10413,62,39.40,40,0.000
442,10413,76,14.40,14,0.000
443,10414,19,7.30,18,0.050
444,10414,33,2.00,50,0.000
445,10415,17,31.20,2,0.000
446,10415,33,2.00,20,0.000
447,10416,19,7.30,20,0.000
448,10416,53,26.20,10,0.000
449,10416,57,15.60,20,0.000
450,10417,38,210.80,50,0.000
451,10417,46,9.60,2,0.250
452,10417,68,10.00,36,0.250
453,10417,77,10.40,35,0.000
454,10418,2,15.20,60,0.000
455,10418,47,7.60,55,0.000
456,10418,61,22.80,16,0.000
457,10418,74,8.00,15,0.000
458,10419,60,27.20,60,0.050
459,10419,69,28.80,20,0.050
460,10420,9,77.60,20,0.100
461,10420,13,4.80,2,0.100
462,10420,70,12.00,8,0.100
463,10420,73,12.00,20,0.100
464,10421,19,7.30,4,0.150
465,10421,26,24.90,30,0.000
466,10421,53,26.20,15,0.150
467,10421,77,10.40,10,0.150
468,10422,26,24.90,2,0.000
469,10423,31,10.00,14,0.000
470,10423,59,44.00,20,0.000
471,10424,35,14.40,60,0.200
472,10424,38,210.80,49,0.200
473,10424,68,10.00,30,0.200
474,10425,55,19.20,10,0.250
475,10425,76,14.40,20,0.250
476,10426,56,30.40,5,0.000
477,10426,64,26.60,7,0.000
478,10427,14,18.60,35,0.000
479,10428,46,9.60,20,0.000
480,10429,50,13.00,40,0.000
481,10429,63,35.10,35,0.250
482,10430,17,31.20,45,0.200
483,10430,21,8.00,50,0.000
484,10430,56,30.40,30,0.000
485,10430,59,44.00,70,0.200
486,10431,17,31.20,50,0.250
487,10431,40,14.70,50,0.250
488,10431,47,7.60,30,0.250
489,10432,26,24.90,10,0.000
490,10432,54,5.90,40,0.000
491,10433,56,30.40,28,0.000
492,10434,11,16.80,6,0.000
493,10434,76,14.40,18,0.150
494,10435,2,15.20,10,0.000
495,10435,22,16.80,12,0.000
496,10435,72,27.80,10,0.000
497,10436,46,9.60,5,0.000
498,10436,56,30.40,40,0.100
499,10436,64,26.60,30,0.100
500,10436,75,6.20,24,0.100
501,10437,53,26.20,15,0.000
502,10438,19,7.30,15,0.200
503,10438,34,11.20,20,0.200
504,10438,57,15.60,15,0.200
505,10439,12,30.40,15,0.000
506,10439,16,13.90,16,0.000
507,10439,64,26.60,6,0.000
508,10439,74,8.00,30,0.000
509,10440,2,15.20,45,0.150
510,10440,16,13.90,49,0.150
511,10440,29,99.00,24,0.150
512,10440,61,22.80,90,0.150
513,10441,27,35.10,50,0.000
514,10442,11,16.80,30,0.000
515,10442,54,5.90,80,0.000
516,10442,66,13.60,60,0.000
517,10443,11,16.80,6,0.200
518,10443,28,36.40,12,0.000
519,10444,17,31.20,10,0.000
520,10444,26,24.90,15,0.000
521,10444,35,14.40,8,0.000
522,10444,41,7.70,30,0.000
523,10445,39,14.40,6,0.000
524,10445,54,5.90,15,0.000
525,10446,19,7.30,12,0.100
526,10446,24,3.60,20,0.100
527,10446,31,10.00,3,0.100
528,10446,52,5.60,15,0.100
529,10447,19,7.30,40,0.000
530,10447,65,16.80,35,0.000
531,10447,71,17.20,2,0.000
532,10448,26,24.90,6,0.000
533,10448,40,14.70,20,0.000
534,10449,10,24.80,14,0.000
535,10449,52,5.60,20,0.000
536,10449,62,39.40,35,0.000
537,10450,10,24.80,20,0.200
538,10450,54,5.90,6,0.200
539,10451,55,19.20,120,0.100
540,10451,64,26.60,35,0.100
541,10451,65,16.80,28,0.100
542,10451,77,10.40,55,0.100
543,10452,28,36.40,15,0.000
544,10452,44,15.50,100,0.050
545,10453,48,10.20,15,0.100
546,10453,70,12.00,25,0.100
547,10454,16,13.90,20,0.200
548,10454,33,2.00,20,0.200
549,10454,46,9.60,10,0.200
550,10455,39,14.40,20,0.000
551,10455,53,26.20,50,0.000
552,10455,61,22.80,25,0.000
553,10455,71,17.20,30,0.000
554,10456,21,8.00,40,0.150
555,10456,49,16.00,21,0.150
556,10457,59,44.00,36,0.000
557,10458,26,24.90,30,0.000
558,10458,28,36.40,30,0.000
559,10458,43,36.80,20,0.000
560,10458,56,30.40,15,0.000
561,10458,71,17.20,50,0.000
562,10459,7,24.00,16,0.050
563,10459,46,9.60,20,0.050
564,10459,72,27.80,40,0.000
565,10460,68,10.00,21,0.250
566,10460,75,6.20,4,0.250
567,10461,21,8.00,40,0.250
568,10461,30,20.70,28,0.250
569,10461,55,19.20,60,0.250
570,10462,13,4.80,1,0.000
571,10462,23,7.20,21,0.000
572,10463,19,7.30,21,0.000
573,10463,42,11.20,50,0.000
574,10464,4,17.60,16,0.200
575,10464,43,36.80,3,0.000
576,10464,56,30.40,30,0.200
577,10464,60,27.20,20,0.000
578,10465,24,3.60,25,0.000
579,10465,29,99.00,18,0.100
580,10465,40,14.70,20,0.000
581,10465,45,7.60,30,0.100
582,10465,50,13.00,25,0.000
583,10466,11,16.80,10,0.000
584,10466,46,9.60,5,0.000
585,10467,24,3.60,28,0.000
586,10467,25,11.20,12,0.000
587,10468,30,20.70,8,0.000
588,10468,43,36.80,15,0.000
589,10469,2,15.20,40,0.150
590,10469,16,13.90,35,0.150
591,10469,44,15.50,2,0.150
592,10470,18,50.00,30,0.000
593,10470,23,7.20,15,0.000
594,10470,64,26.60,8,0.000
595,10471,7,24.00,30,0.000
596,10471,56,30.40,20,0.000
597,10472,24,3.60,80,0.050
598,10472,51,42.40,18,0.000
599,10473,33,2.00,12,0.000
600,10473,71,17.20,12,0.000
601,10474,14,18.60,12,0.000
602,10474,28,36.40,18,0.000
603,10474,40,14.70,21,0.000
604,10474,75,6.20,10,0.000
605,10475,31,10.00,35,0.150
606,10475,66,13.60,60,0.150
607,10475,76,14.40,42,0.150
608,10476,55,19.20,2,0.050
609,10476,70,12.00,12,0.000
610,10477,1,14.40,15,0.000
611,10477,21,8.00,21,0.250
612,10477,39,14.40,20,0.250
613,10478,10,24.80,20,0.050
614,10479,38,210.80,30,0.000
615,10479,53,26.20,28,0.000
616,10479,59,44.00,60,0.000
617,10479,64,26.60,30,0.000
618,10480,47,7.60,30,0.000
619,10480,59,44.00,12,0.000
620,10481,49,16.00,24,0.000
621,10481,60,27.20,40,0.000
622,10482,40,14.70,10,0.000
623,10483,34,11.20,35,0.050
624,10483,77,10.40,30,0.050
625,10484,21,8.00,14,0.000
626,10484,40,14.70,10,0.000
627,10484,51,42.40,3,0.000
628,10485,2,15.20,20,0.100
629,10485,3,8.00,20,0.100
630,10485,55,19.20,30,0.100
631,10485,70,12.00,60,0.100
632,10486,11,16.80,5,0.000
633,10486,51,42.40,25,0.000
634,10486,74,8.00,16,0.000
635,10487,19,7.30,5,0.000
636,10487,26,24.90,30,0.000
637,10487,54,5.90,24,0.250
638,10488,59,44.00,30,0.000
639,10488,73,12.00,20,0.200
640,10489,11,16.80,15,0.250
641,10489,16,13.90,18,0.000
642,10490,59,44.00,60,0.000
643,10490,68,10.00,30,0.000
644,10490,75,6.20,36,0.000
645,10491,44,15.50,15,0.150
646,10491,77,10.40,7,0.150
647,10492,25,11.20,60,0.050
648,10492,42,11.20,20,0.050
649,10493,65,16.80,15,0.100
650,10493,66,13.60,10,0.100
651,10493,69,28.80,10,0.100
652,10494,56,30.40,30,0.000
653,10495,23,7.20,10,0.000
654,10495,41,7.70,20,0.000
655,10495,77,10.40,5,0.000
656,10496,31,10.00,20,0.050
657,10497,56,30.40,14,0.000
658,10497,72,27.80,25,0.000
659,10497,77,10.40,25,0.000
660,10498,24,4.50,14,0.000
661,10498,40,18.40,5,0.000
662,10498,42,14.00,30,0.000
663,10499,28,45.60,20,0.000
664,10499,49,20.00,25,0.000
665,10500,15,15.50,12,0.050
666,10500,28,45.60,8,0.050
667,10501,54,7.45,20,0.000
668,10502,45,9.50,21,0.000
669,10502,53,32.80,6,0.000
670,10502,67,14.00,30,0.000
671,10503,14,23.25,70,0.000
672,10503,65,21.05,20,0.000
673,10504,2,19.00,12,0.000
674,10504,21,10.00,12,0.000
675,10504,53,32.80,10,0.000
676,10504,61,28.50,25,0.000
677,10505,62,49.30,3,0.000
678,10506,25,14.00,18,0.100
679,10506,70,15.00,14,0.100
680,10507,43,46.00,15,0.150
681,10507,48,12.75,15,0.150
682,10508,13,6.00,10,0.000
683,10508,39,18.00,10,0.000
684,10509,28,45.60,3,0.000
685,10510,29,123.79,36,0.000
686,10510,75,7.75,36,0.100
687,10511,4,22.00,50,0.150
688,10511,7,30.00,50,0.150
689,10511,8,40.00,10,0.150
690,10512,24,4.50,10,0.150
691,10512,46,12.00,9,0.150
692,10512,47,9.50,6,0.150
693,10512,60,34.00,12,0.150
694,10513,21,10.00,40,0.200
695,10513,32,32.00,50,0.200
696,10513,61,28.50,15,0.200
697,10514,20,81.00,39,0.000
698,10514,28,45.60,35,0.000
699,10514,56,38.00,70,0.000
700,10514,65,21.05,39,0.000
701,10514,75,7.75,50,0.000
702,10515,9,97.00,16,0.150
703,10515,16,17.45,50,0.000
704,10515,27,43.90,120,0.000
705,10515,33,2.50,16,0.150
706,10515,60,34.00,84,0.150
707,10516,18,62.50,25,0.100
708,10516,41,9.65,80,0.100
709,10516,42,14.00,20,0.000
710,10517,52,7.00,6,0.000
711,10517,59,55.00,4,0.000
712,10517,70,15.00,6,0.000
713,10518,24,4.50,5,0.000
714,10518,38,263.50,15,0.000
715,10518,44,19.45,9,0.000
716,10519,10,31.00,16,0.050
717,10519,56,38.00,40,0.000
718,10519,60,34.00,10,0.050
719,10520,24,4.50,8,0.000
720,10520,53,32.80,5,0.000
721,10521,35,18.00,3,0.000
722,10521,41,9.65,10,0.000
723,10521,68,12.50,6,0.000
724,10522,1,18.00,40,0.200
725,10522,8,40.00,24,0.000
726,10522,30,25.89,20,0.200
727,10522,40,18.40,25,0.200
728,10523,17,39.00,25,0.100
729,10523,20,81.00,15,0.100
730,10523,37,26.00,18,0.100
731,10523,41,9.65,6,0.100
732,10524,10,31.00,2,0.000
733,10524,30,25.89,10,0.000
734,10524,43,46.00,60,0.000
735,10524,54,7.45,15,0.000
736,10525,36,19.00,30,0.000
737,10525,40,18.40,15,0.100
738,10526,1,18.00,8,0.150
739,10526,13,6.00,10,0.000
740,10526,56,38.00,30,0.150
741,10527,4,22.00,50,0.100
742,10527,36,19.00,30,0.100
743,10528,11,21.00,3,0.000
744,10528,33,2.50,8,0.200
745,10528,72,34.80,9,0.000
746,10529,55,24.00,14,0.000
747,10529,68,12.50,20,0.000
748,10529,69,36.00,10,0.000
749,10530,17,39.00,40,0.000
750,10530,43,46.00,25,0.000
751,10530,61,28.50,20,0.000
752,10530,76,18.00,50,0.000
753,10531,59,55.00,2,0.000
754,10532,30,25.89,15,0.000
755,10532,66,17.00,24,0.000
756,10533,4,22.00,50,0.050
757,10533,72,34.80,24,0.000
758,10533,73,15.00,24,0.050
759,10534,30,25.89,10,0.000
760,10534,40,18.40,10,0.200
761,10534,54,7.45,10,0.200
762,10535,11,21.00,50,0.100
763,10535,40,18.40,10,0.100
764,10535,57,19.50,5,0.100
765,10535,59,55.00,15,0.100
766,10536,12,38.00,15,0.250
767,10536,31,12.50,20,0.000
768,10536,33,2.50,30,0.000
769,10536,60,34.00,35,0.250
770,10537,31,12.50,30,0.000
771,10537,51,53.00,6,0.000
772,10537,58,13.25,20,0.000
773,10537,72,34.80,21,0.000
774,10537,73,15.00,9,0.000
775,10538,70,15.00,7,0.000
776,10538,72,34.80,1,0.000
777,10539,13,6.00,8,0.000
778,10539,21,10.00,15,0.000
779,10539,33,2.50,15,0.000
780,10539,49,20.00,6,0.000
781,10540,3,10.00,60,0.000
782,10540,26,31.23,40,0.000
783,10540,38,263.50,30,0.000
784,10540,68,12.50,35,0.000
785,10541,24,4.50,35,0.100
786,10541,38,263.50,4,0.100
787,10541,65,21.05,36,0.100
788,10541,71,21.50,9,0.100
789,10542,11,21.00,15,0.050
790,10542,54,7.45,24,0.050
791,10543,12,38.00,30,0.150
792,10543,23,9.00,70,0.150
793,10544,28,45.60,7,0.000
794,10544,67,14.00,7,0.000
795,10545,11,21.00,10,0.000
796,10546,7,30.00,10,0.000
797,10546,35,18.00,30,0.000
798,10546,62,49.30,40,0.000
799,10547,32,32.00,24,0.150
800,10547,36,19.00,60,0.000
801,10548,34,14.00,10,0.250
802,10548,41,9.65,14,0.000
803,10549,31,12.50,55,0.150
804,10549,45,9.50,100,0.150
805,10549,51,53.00,48,0.150
806,10550,17,39.00,8,0.100
807,10550,19,9.20,10,0.000
808,10550,21,10.00,6,0.100
809,10550,61,28.50,10,0.100
810,10551,16,17.45,40,0.150
811,10551,35,18.00,20,0.150
812,10551,44,19.45,40,0.000
813,10552,69,36.00,18,0.000
814,10552,75,7.75,30,0.000
815,10553,11,21.00,15,0.000
816,10553,16,17.45,14,0.000
817,10553,22,21.00,24,0.000
818,10553,31,12.50,30,0.000
819,10553,35,18.00,6,0.000
