CustomerId,CompanyName,Address,City,Region,PostalCode,Country,Phone,Fax,Email
81,Tradição Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil,(11) 555-2167,(11) 555-2168,douglas@mail.com
82,Trail's Head Gourmet Provisioners,722 DaVinci Blvd.,Kirkland,WA,98034,USA,(206) 555-8257,(206) 555-2174,lorna@mail.com
83,Vaffeljernet,Smagsloget 45,Århus,NULL,8200,Denmark,86 21 32 43,86 22 33 44,ethan@mail.com
84,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France,78.32.54.86,78.32.54.87,erin@mail.com
85,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France,26.47.15.10,26.47.15.11,shaun@mail.com
86,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany,0711-020361,0711-035428,maynard@mail.com
87,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland,981-443655,981-443655,latonya@mail.com
88,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,(14) 555-8122,NULL,laurel@mail.com
89,White Clover Markets,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115,tony@mail.com
90,Wilman Kala,Keskuskatu 45,Helsinki,NULL,21240,Finland,90-224 8858,90-224 8858,jerrod@mail.com
91,Wolski Zajazd,ul. Filtrowa 68,Warszawa,NULL,01-012,Poland,(26) 642-7012,(26) 642-7012,casey@mail.com
